Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
1,KOMMU SRINU,TRS,499,Elected,Suryapet,Huzurnagar
2,KANDUKURI MADESH,BJP,8,,Suryapet,Huzurnagar
3,NANDIGAMA SRINIVAS,INC,363,,Suryapet,Huzurnagar
4,NAGAMANI PATTETI,IND,3,,Suryapet,Huzurnagar
"WARD Name : 2 , Reserved for : BC(G), Total Voters in Municipality Ward : 1014 , Total Vaild Votes : 901 , Rejected Votes : 7 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,KODI MALLAIAH,INC,264,,Suryapet,Huzurnagar
2,CHINTHALAPUDI UMAMAHESWARA RAO,BJP,6,,Suryapet,Huzurnagar
3,JAKKULA SHAMBAIAH,TRS,448,Elected,Suryapet,Huzurnagar
4,KESHAGANI NAGESHWARARAO,IND,183,,Suryapet,Huzurnagar
"WARD Name : 3 , Reserved for : UR(G), Total Voters in Municipality Ward : 1033 , Total Vaild Votes : 784 , Rejected Votes : 1 , NOTA Votes : 3",,,,,Suryapet,Huzurnagar
1,DHANALA PRASAD,BJP,1,,Suryapet,Huzurnagar
2,SANKRANTHI PADMA,INC,180,,Suryapet,Huzurnagar
3,SAMPATH REDDY KOTHI,TRS,603,Elected,Suryapet,Huzurnagar
4,BODDU RAMARAO,IND,0,,Suryapet,Huzurnagar
"WARD Name : 4 , Reserved for : UR(G), Total Voters in Municipality Ward : 996 , Total Vaild Votes : 791 , Rejected Votes : 3 , NOTA Votes : 3",,,,,Suryapet,Huzurnagar
1,ORUGANTI NAGESHWARARAO,TRS,327,Elected,Suryapet,Huzurnagar
2,KANNEGUNDLLA TIRUMALARAO,BJP,7,,Suryapet,Huzurnagar
3,TELUKUNTLA GOUTHAMI,INC,170,,Suryapet,Huzurnagar
4,DONTHIREDDY PADMA,IND,287,,Suryapet,Huzurnagar
"WARD Name : 5 , Reserved for : UR(W), Total Voters in Municipality Ward : 967 , Total Vaild Votes : 803 , Rejected Votes : 6 , NOTA Votes : 7",,,,,Suryapet,Huzurnagar
1,ENTTI BHAVANI,BJP,25,,Suryapet,Huzurnagar
2,DONGARA MANGAMMA,TRS,514,Elected,Suryapet,Huzurnagar
3,PALLAPU DURGA,INC,264,,Suryapet,Huzurnagar
"WARD Name : 6 , Reserved for : BC(G), Total Voters in Municipality Ward : 966 , Total Vaild Votes : 842 , Rejected Votes : 1 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,ARAVIND PITTALA,TRS,306,,Suryapet,Huzurnagar
2,MULKALAPALLI RAMGOPI,INC,531,Elected,Suryapet,Huzurnagar
3,YEDULA NARSIMHA RAO,IND,1,,Suryapet,Huzurnagar
4,BAIRU SATHEESH,IND,4,,Suryapet,Huzurnagar
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 974 , Total Vaild Votes : 833 , Rejected Votes : 9 , NOTA Votes : 1",,,,,Suryapet,Huzurnagar
1,CHITYALA DHANALAKSHMI,TRS,317,,Suryapet,Huzurnagar
2,PANGA MANGA,BJP,5,,Suryapet,Huzurnagar
3,VEMULA VARALAXMI,INC,511,Elected,Suryapet,Huzurnagar
"WARD Name : 8 , Reserved for : SC(W), Total Voters in Municipality Ward : 982 , Total Vaild Votes : 911 , Rejected Votes : 9 , NOTA Votes : 8",,,,,Suryapet,Huzurnagar
1,CHILAKABATHINI SOWJANYA,TRS,724,Elected,Suryapet,Huzurnagar
2,PASHAM KOTAMMA,INC,27,,Suryapet,Huzurnagar
3,KANKANALA SUNITHA,IND,160,,Suryapet,Huzurnagar
"WARD Name : 9 , Reserved for : SC(W), Total Voters in Municipality Ward : 970 , Total Vaild Votes : 826 , Rejected Votes : 8 , NOTA Votes : 7",,,,,Suryapet,Huzurnagar
1,ITTIMALLA SUVARTHA,TRS,301,,Suryapet,Huzurnagar
2,BOLLEDDU DHANAMMA,INC,525,Elected,Suryapet,Huzurnagar
"WARD Name : 10 , Reserved for : UR(W), Total Voters in Municipality Ward : 956 , Total Vaild Votes : 831 , Rejected Votes : 5 , NOTA Votes : 3",,,,,Suryapet,Huzurnagar
1,GUNDA PHANI KUMARI,TRS,290,Elected,Suryapet,Huzurnagar
2,DEVARAM MALLISWARI,CPI,279,,Suryapet,Huzurnagar
3,BACHMANCHI VASATHALAKSHMI,INC,262,,Suryapet,Huzurnagar
"WARD Name : 11 , Reserved for : SC(G), Total Voters in Municipality Ward : 962 , Total Vaild Votes : 857 , Rejected Votes : 8 , NOTA Votes : 6",,,,,Suryapet,Huzurnagar
1,KASTALA SRAVAN KUMAR,INC,535,Elected,Suryapet,Huzurnagar
2,MEESALA SHARATH BABU,TRS,254,,Suryapet,Huzurnagar
3,MELLACHERVU LAXMAN,BJP,17,,Suryapet,Huzurnagar
4,KATHALA VEERABABU,IND,40,,Suryapet,Huzurnagar
5,CHADAPANGU CHANDRAIAH,IND,11,,Suryapet,Huzurnagar
"WARD Name : 12 , Reserved for : UR(W), Total Voters in Municipality Ward : 977 , Total Vaild Votes : 921 , Rejected Votes : 6 , NOTA Votes : 0",,,,,Suryapet,Huzurnagar
1,ANITHA LAXMAREDDY BONALA,TRS,250,,Suryapet,Huzurnagar
2,NAKEREKANTI SRILATHA,BJP,6,,Suryapet,Huzurnagar
3,VELIDANDA SARITHA,INC,665,Elected,Suryapet,Huzurnagar
"WARD Name : 13 , Reserved for : ST(G), Total Voters in Municipality Ward : 985 , Total Vaild Votes : 881 , Rejected Votes : 20 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,GUGULOTHU EERIYA,BJP,7,,Suryapet,Huzurnagar
2,TEJAVATH RAJA,INC,477,Elected,Suryapet,Huzurnagar
3,BHUKYA CHANDRAMOULI,TRS,314,,Suryapet,Huzurnagar
4,GUGULOTHU BALAKRISHNA,IND,2,,Suryapet,Huzurnagar
5,TEJAVATH RAVI NAIK,IND,1,,Suryapet,Huzurnagar
6,TEJAVATH SAIDULU NAYAK,IND,79,,Suryapet,Huzurnagar
7,ramavath nagesh,IND,1,,Suryapet,Huzurnagar
"WARD Name : 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 980 , Total Vaild Votes : 866 , Rejected Votes : 19 , NOTA Votes : 6",,,,,Suryapet,Huzurnagar
1,INDIRALA ANITHA,TRS,226,,Suryapet,Huzurnagar
2,GUNDA PADMA,BJP,21,,Suryapet,Huzurnagar
3,VADLANAPU TRIVENI,CPM,347,Elected,Suryapet,Huzurnagar
4,JADA SEETHAMMA,IND,4,,Suryapet,Huzurnagar
5,DAGGUPATI KAVITHA,IND,268,,Suryapet,Huzurnagar
"WARD Name : 15 , Reserved for : UR(G), Total Voters in Municipality Ward : 990 , Total Vaild Votes : 862 , Rejected Votes : 10 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,KONDA HAREESH,BJP,56,,Suryapet,Huzurnagar
2,KOTA LAXMI NARSIMHA RAO,TRS,572,Elected,Suryapet,Huzurnagar
3,SOMAGANI NARENDAR,TDP,6,,Suryapet,Huzurnagar
4,GINNEREDDY VENKATREDDY,CPI,212,,Suryapet,Huzurnagar
5,JADASRINU,IND,1,,Suryapet,Huzurnagar
6,MUSINI RAMAKRISHNA,IND,8,,Suryapet,Huzurnagar
7,LINGAM KRISHNA,IND,7,,Suryapet,Huzurnagar
"WARD Name : 16 , Reserved for : BC(W), Total Voters in Municipality Ward : 1004 , Total Vaild Votes : 875 , Rejected Votes : 8 , NOTA Votes : 1",,,,,Suryapet,Huzurnagar
1,KARINGULA VIJAYA GOUD,INC,503,Elected,Suryapet,Huzurnagar
2,DENUMAKONDA SHESHIKALA,BJP,8,,Suryapet,Huzurnagar
3,RAAMISHETTI SHANTHI,TRS,364,,Suryapet,Huzurnagar
4,RAMISETTY ANURADHA,IND,0,,Suryapet,Huzurnagar
"WARD Name : 17 , Reserved for : BC(G), Total Voters in Municipality Ward : 1055 , Total Vaild Votes : 892 , Rejected Votes : 8 , NOTA Votes : 0",,,,,Suryapet,Huzurnagar
1,JAKKULA NAGESHWAR RAO,TRS,552,Elected,Suryapet,Huzurnagar
2,VALLAPUDASU GOPINADH,BJP,4,,Suryapet,Huzurnagar
3,VENKATA NARAYANA BELLAMKONDA,INC,327,,Suryapet,Huzurnagar
4,DONTHAGANI RAAJA RAMESH,IND,5,,Suryapet,Huzurnagar
5,RAMISHETTY VENKATESHWARA RAO,IND,4,,Suryapet,Huzurnagar
"WARD Name : 18 , Reserved for : BC(W), Total Voters in Municipality Ward : 1058 , Total Vaild Votes : 916 , Rejected Votes : 14 , NOTA Votes : 9",,,,,Suryapet,Huzurnagar
1,UPENDRA KUNTA,TRS,462,Elected,Suryapet,Huzurnagar
2,JAKKULA MALLAMMA,INC,446,,Suryapet,Huzurnagar
3,VALLAPUDASU ANNAPURNA,BJP,8,,Suryapet,Huzurnagar
"WARD Name : 19 , Reserved for : UR(G), Total Voters in Municipality Ward : 1065 , Total Vaild Votes : 904 , Rejected Votes : 11 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,ATLURI MANJULA,TRS,588,Elected,Suryapet,Huzurnagar
2,VALLAPUDASU KRISHNA,INC,315,,Suryapet,Huzurnagar
3,SOMAGANI VEERAIAH,BJP,1,,Suryapet,Huzurnagar
4,NARSIMHARAO NEERUMALLA,IND,0,,Suryapet,Huzurnagar
"WARD Name : 20 , Reserved for : UR(W), Total Voters in Municipality Ward : 1052 , Total Vaild Votes : 903 , Rejected Votes : 17 , NOTA Votes : 1",,,,,Suryapet,Huzurnagar
1,ANUSHA DONTHAGANI,INC,381,,Suryapet,Huzurnagar
2,GANDU DURGA,BJP,2,,Suryapet,Huzurnagar
3,DONTAGANI PADMA,TRS,516,Elected,Suryapet,Huzurnagar
4,VALLAPUDASU GOPAMMA,TDP,3,,Suryapet,Huzurnagar
5,BODDU PADMAVATHI,IND,1,,Suryapet,Huzurnagar
"WARD Name : 21 , Reserved for : UR(W), Total Voters in Municipality Ward : 1035 , Total Vaild Votes : 805 , Rejected Votes : 7 , NOTA Votes : 1",,,,,Suryapet,Huzurnagar
1,TANNERU RADHIKA,INC,373,,Suryapet,Huzurnagar
2,KANTU DHANALAXMI,BJP,23,,Suryapet,Huzurnagar
3,YALLAVULA KANAKADURGA,TDP,6,,Suryapet,Huzurnagar
4,VEERLAPATI GAYATHRI,TRS,403,Elected,Suryapet,Huzurnagar
5,YALLABOINA JYOTHI,IND,0,,Suryapet,Huzurnagar
"WARD Name : 22 , Reserved for : UR(G), Total Voters in Municipality Ward : 1049 , Total Vaild Votes : 773 , Rejected Votes : 12 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,AMARABOINA SATEESH,TRS,446,Elected,Suryapet,Huzurnagar
2,TANNIRU MALLIKHARJUN RAO,INC,304,,Suryapet,Huzurnagar
3,NARSING SATEESH GOUD,BJP,16,,Suryapet,Huzurnagar
4,SUTHARI SRINIVASARAO,IND,7,,Suryapet,Huzurnagar
"WARD Name : 23 , Reserved for : BC(G), Total Voters in Municipality Ward : 1046 , Total Vaild Votes : 842 , Rejected Votes : 10 , NOTA Votes : 13",,,,,Suryapet,Huzurnagar
1,KUKKADAPU NARESH,BJP,10,,Suryapet,Huzurnagar
2,JAKKULA VEERAIAH,TRS,656,Elected,Suryapet,Huzurnagar
3,MUSHAM SATYANARAYANA,INC,174,,Suryapet,Huzurnagar
4,ATHUKURI SATHYANARAYANA,IND,0,,Suryapet,Huzurnagar
5,THANDU VENKANNA GOUD,IND,2,,Suryapet,Huzurnagar
"WARD Name : 24 , Reserved for : BC(W), Total Voters in Municipality Ward : 1047 , Total Vaild Votes : 919 , Rejected Votes : 8 , NOTA Votes : 4",,,,,Suryapet,Huzurnagar
1,GUNJA BHAVANI,TRS,576,Elected,Suryapet,Huzurnagar
2,THANDU SANDHYA RANI,TDP,339,,Suryapet,Huzurnagar
3,ORSU SARASWATHI,IND,3,,Suryapet,Huzurnagar
4,POTHANABOINA NAGAMANI,IND,1,,Suryapet,Huzurnagar
"WARD Name : 25 , Reserved for : BC(W), Total Voters in Municipality Ward : 1060 , Total Vaild Votes : 925 , Rejected Votes : 15 , NOTA Votes : 1",,,,,Suryapet,Huzurnagar
1,BATHULA BHAVANI,BJP,6,,Suryapet,Huzurnagar
2,MOHAMMED ASMA,TRS,458,Elected,Suryapet,Huzurnagar
3,SULUVA NAGALAXMI,INC,437,,Suryapet,Huzurnagar
4,KATARI NAGAMANI,IND,24,,Suryapet,Huzurnagar
"WARD Name : 26 , Reserved for : UR(W), Total Voters in Municipality Ward : 1049 , Total Vaild Votes : 857 , Rejected Votes : 7 , NOTA Votes : 8",,,,,Suryapet,Huzurnagar
1,ARCHANA GELLI,TRS,792,Elected,Suryapet,Huzurnagar
2,KOLLOJU PADMA,BJP,14,,Suryapet,Huzurnagar
3,M.D. KHALEDHA BEGAM,INC,51,,Suryapet,Huzurnagar
"WARD Name : 27 , Reserved for : BC(G), Total Voters in Municipality Ward : 1035 , Total Vaild Votes : 880 , Rejected Votes : 8 , NOTA Votes : 2",,,,,Suryapet,Huzurnagar
1,Thandu Prasad,INC,427,,Suryapet,Huzurnagar
2,BATHINI SATYANARAYANA,BJP,6,,Suryapet,Huzurnagar
3,YARAGANI GURAVAIAH,TRS,443,Elected,Suryapet,Huzurnagar
4,MARAGANI SAIDULU,IND,4,,Suryapet,Huzurnagar
"WARD Name : 28 , Reserved for : UR(G), Total Voters in Municipality Ward : 1033 , Total Vaild Votes : 965 , Rejected Votes : 9 , NOTA Votes : 0",,,,,Suryapet,Huzurnagar
1,AMARABOINA GANGARAJU,TRS,522,Elected,Suryapet,Huzurnagar
2,POTHURAJU VIJAY,BJP,3,,Suryapet,Huzurnagar
3,MODALA SAIDULU,INC,440,,Suryapet,Huzurnagar
"WARD Name : 1 , Reserved for : UR(G), Total Voters in Municipality Ward : 707 , Total Vaild Votes : 573 , Rejected Votes : 4 , NOTA Votes : 5",,,,,Warangal,Wardhannpet
1,RAJENDER THOTA,TRS,196,,Warangal,Wardhannpet
2,Sudheer sammeta,INC,233,Elected,Warangal,Wardhannpet
3,SURESH NAGELLY,BJP,144,,Warangal,Wardhannpet
"WARD Name : 2 , Reserved for : UR(W), Total Voters in Municipality Ward : 76 , Total Vaild Votes : 628 , Rejected Votes : 9 , NOTA Votes : 4",,,,,Warangal,Wardhannpet
1,THOTAKURI RAJAMANI,TRS,333,Elected,Warangal,Wardhannpet
2,BHAGYALAXMI VADLAKONDA,INC,269,,Warangal,Wardhannpet
3,VADLAKONDA SRIDEVI,BJP,26,,Warangal,Wardhannpet
"WARD Name : 3 , Reserved for : SC(W), Total Voters in Municipality Ward : 774 , Total Vaild Votes : 697 , Rejected Votes : 9 , NOTA Votes : 4",,,,,Warangal,Wardhannpet
1,ANITHA KONDETI,BJP,316,Elected,Warangal,Wardhannpet
2,ELAMAKANTI SUJATHA,CPI,6,,Warangal,Wardhannpet
3,KONDETI SARITHA,TRS,286,,Warangal,Wardhannpet
4,MAMATHA KONDETI,INC,53,,Warangal,Wardhannpet
5,KONDETI SREELATHA,IND,36,,Warangal,Wardhannpet
6,HANUMAKONDA LALITHA,IND,0,,Warangal,Wardhannpet
"WARD Name : 4 , Reserved for : ST(G), Total Voters in Municipality Ward : 885 , Total Vaild Votes : 840 , Rejected Votes : 9 , NOTA Votes : 3",,,,,Warangal,Wardhannpet
1,NUNAVATH USHA,TRS,294,,Warangal,Wardhannpet
2,ANGOTH DEVENDER,TDP,6,,Warangal,Wardhannpet
3,bhukya saritha srilatha,INC,453,Elected,Warangal,Wardhannpet
4,RAJITHA SAPAVAT,BJP,79,,Warangal,Wardhannpet
5,NUNAVATH DEEPLA,IND,2,,Warangal,Wardhannpet
6,BANOTHU VEERANNA,IND,3,,Warangal,Wardhannpet
7,VANKUDOTHU LALITHA,IND,2,,Warangal,Wardhannpet
8,VANKUDOTH VENKANNA,IND,1,,Warangal,Wardhannpet
"WARD Name : 5 , Reserved for : ST(W), Total Voters in Municipality Ward : 908 , Total Vaild Votes : 854 , Rejected Votes : 10 , NOTA Votes : 0",,,,,Warangal,Wardhannpet
1,NETHAVATH SHEEBARANI,TRS,416,,Warangal,Wardhannpet
2,RADHIKA BHUKYA,BJP,6,,Warangal,Wardhannpet
3,SAPAVAT YAMUNA,INC,15,,Warangal,Wardhannpet
4,BANOTH ANITHA,IND,417,Elected,Warangal,Wardhannpet
"WARD Name : 6 , Reserved for : ST(G), Total Voters in Municipality Ward : 819 , Total Vaild Votes : 776 , Rejected Votes : 11 , NOTA Votes : 1",,,,,Warangal,Wardhannpet
1,ANGOTHU ARUNA,TRS,438,Elected,Warangal,Wardhannpet
2,ANGOTHU KALPANA,INC,274,,Warangal,Wardhannpet
3,SUNITHA GUGULOTH,BJP,60,,Warangal,Wardhannpet
4,ANGOTH THARABHAI,IND,4,,Warangal,Wardhannpet
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 723 , Total Vaild Votes : 617 , Rejected Votes : 31 , NOTA Votes : 5",,,,,Warangal,Wardhannpet
1,ANGADI PADMA,TDP,10,,Warangal,Wardhannpet
2,THIRUPATHI LALITHA,INC,52,,Warangal,Wardhannpet
3,PALAKURTHI SUJATHA,TRS,297,Elected,Warangal,Wardhannpet
4,BONTHA VIJAYA,BJP,139,,Warangal,Wardhannpet
5,PADISHALA UPENDRA,IND,119,,Warangal,Wardhannpet
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 756 , Total Vaild Votes : 621 , Rejected Votes : 11 , NOTA Votes : 2",,,,,Warangal,Wardhannpet
1,GUJJA YADHAMMA,INC,138,,Warangal,Wardhannpet
2,PADMA KODHATI,TRS,430,Elected,Warangal,Wardhannpet
3,BOJJA MANJULA,BJP,53,,Warangal,Wardhannpet
"WARD Name : 9 , Reserved for : BC(G), Total Voters in Municipality Ward : 747 , Total Vaild Votes : 629 , Rejected Votes : 10 , NOTA Votes : 3",,,,,Warangal,Wardhannpet
1,MOTAPOTHULA NAVEEN KUMAR,INC,95,,Warangal,Wardhannpet
2,MANCHALA RAMAKRISHNA,TRS,333,Elected,Warangal,Wardhannpet
3,VENKATESHWARLU CHENNA,BJP,6,,Warangal,Wardhannpet
4,GODHUMALA MADHUSUDHAN,IND,195,,Warangal,Wardhannpet
"WARD Name : 10 , Reserved for : SC(G), Total Voters in Municipality Ward : 742 , Total Vaild Votes : 619 , Rejected Votes : 5 , NOTA Votes : 2",,,,,Warangal,Wardhannpet
1,erra srinivas,INC,60,,Warangal,Wardhannpet
2,THUMMALA RAVINDER,TRS,371,Elected,Warangal,Wardhannpet
3,MALLEPAKA ANIL KUMAR,BJP,183,,Warangal,Wardhannpet
4,thatikayala satish babu,IND,5,,Warangal,Wardhannpet
"WARD Name : 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 726 , Total Vaild Votes : 568 , Rejected Votes : 8 , NOTA Votes : 5",,,,,Warangal,Wardhannpet
1,Komandla Elendhar reddy,TRS,371,Elected,Warangal,Wardhannpet
2,RAMAGIRI PRASHANTH,BJP,65,,Warangal,Wardhannpet
3,sarangapani martha,INC,132,,Warangal,Wardhannpet
"WARD Name : 12 , Reserved for : UR(W), Total Voters in Municipality Ward : 726 , Total Vaild Votes : 636 , Rejected Votes : 11 , NOTA Votes : 5",,,,,Warangal,Wardhannpet
1,ORSU YAKAMMA,BJP,24,,Warangal,Wardhannpet
2,jettaboina rajamma,INC,85,,Warangal,Wardhannpet
3,sujatha pujari,TRS,527,Elected,Warangal,Wardhannpet
"WARD Name : 1 , Reserved for : SC(G), Total Voters in Municipality Ward : 1110 , Total Vaild Votes : 943 , Rejected Votes : 11 , NOTA Votes : 2",,,,,Warangal,Parakal
1,MADIKONDA SAMPATH KUMAR,TRS,475,Elected,Warangal,Parakal
2,VENKATASWAMY DUBASI,INC,468,,Warangal,Parakal
"WARD Name : 2 , Reserved for : SC(G), Total Voters in Municipality Ward : 1158 , Total Vaild Votes : 957 , Rejected Votes : 18 , NOTA Votes : 2",,,,,Warangal,Parakal
1,ROOPA BOCHU,INC,22,,Warangal,Parakal
2,RAMESH BOCHU,IND,0,,Warangal,Parakal
3,CHINNASARAIAH ONTERU,TRS,647,Elected,Warangal,Parakal
4,CHINNI KRISHNA BOCHU,IND,52,,Warangal,Parakal
5,CHAKRAPANI ONTERU,IND,23,,Warangal,Parakal
6,BOCHU DILIP BIKSHAPATHI,AIFB,205,,Warangal,Parakal
7,ONTERU SUDHAKAR,IND,1,,Warangal,Parakal
8,DUBASI SAHADEV,TDP,7,,Warangal,Parakal
"WARD Name : 3 , Reserved for : UR(G), Total Voters in Municipality Ward : 1144 , Total Vaild Votes : 897 , Rejected Votes : 5 , NOTA Votes : 8",,,,,Warangal,Parakal
1,SANTHOSH PORANDLA,TRS,673,Elected,Warangal,Parakal
2,BASANI HEMALATHA,BJP,224,,Warangal,Parakal
"WARD Name : 4 , Reserved for : UR(W), Total Voters in Municipality Ward : 1157 , Total Vaild Votes : 931 , Rejected Votes : 18 , NOTA Votes : 7",,,,,Warangal,Parakal
1,ANUSHA DAMA,TRS,416,,Warangal,Parakal
2,RAMYA KRUSHNA DEVUNOORI,BJP,515,Elected,Warangal,Parakal
"WARD Name : 5 , Reserved for : UR(W), Total Voters in Municipality Ward : 1145 , Total Vaild Votes : 962 , Rejected Votes : 14 , NOTA Votes : 0",,,,,Warangal,Parakal
1,MADHAVI PANCHAGIRI,TRS,360,,Warangal,Parakal
2,GOREE SRAVANTHI,AIFB,562,Elected,Warangal,Parakal
3,DAMA RAJINI,IND,40,,Warangal,Parakal
"WARD Name : 6 , Reserved for : BC(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,DAMERA MOGILI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 7 , Reserved for : BC(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,NALLELA JYOTHI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 8 , Reserved for : BC(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,RAMU ADAPA,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 9 , Reserved for : BC(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,KODURI MALLESHAM,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 10 , Reserved for : SC(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,PASULA LAVANYA,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 11 , Reserved for : UR(G), Total Voters in Municipality Ward : 1142 , Total Vaild Votes : 877 , Rejected Votes : 7 , NOTA Votes : 10",,,,,Warangal,Parakal
1,VIJAYAPAL REDDY REGURI,TRS,683,Elected,Warangal,Parakal
2,SAMBAIAH DUPPATI,CPI,194,,Warangal,Parakal
"WARD Name : 12 , Reserved for : BC(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,RANI BANDI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 13 , Reserved for : SC(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,SHANIGARAM RAJANI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 14 , Reserved for : UR(W), Total Voters in Municipality Ward : 1157 , Total Vaild Votes : 914 , Rejected Votes : 16 , NOTA Votes : 5",,,,,Warangal,Parakal
1,BHAGYALAXMI SIRANGI,IND,419,,Warangal,Parakal
2,UMADEVI MARKA,TRS,489,Elected,Warangal,Parakal
3,SRIDEVI MAHESHWARAM,IND,6,,Warangal,Parakal
"WARD Name : 15 , Reserved for : UR(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,CHANDUPATLA SUJATHA,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 16 , Reserved for : UR(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,BANDI RAMADEVI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 17 , Reserved for : ST(G), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,GOPI PALAKURTHI,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 18 , Reserved for : SC(G), Total Voters in Municipality Ward : 1122 , Total Vaild Votes : 876 , Rejected Votes : 17 , NOTA Votes : 3",,,,,Warangal,Parakal
1,AKU RAJU,TRS,578,Elected,Warangal,Parakal
2,KOYYADA SRINIVAS,INC,298,,Warangal,Parakal
"WARD Name : 19 , Reserved for : UR(W), Total Voters in Municipality Ward : 1115 , Total Vaild Votes : 897 , Rejected Votes : 18 , NOTA Votes : 3",,,,,Warangal,Parakal
1,PANCHAGIRI JAYAMMA,INC,494,Elected,Warangal,Parakal
2,BOCHU RANI,IND,75,,Warangal,Parakal
3,RAJITHA ALLE,TRS,328,,Warangal,Parakal
"WARD Name : 20 , Reserved for : UR(W), Total Voters in Municipality Ward : -- , Total Vaild Votes : 0 , Rejected Votes : 0 , NOTA Votes : 0",,,,,Warangal,Parakal
1,ANITHA SODHA,TRS,0,Unanimous ,Warangal,Parakal
"WARD Name : 21 , Reserved for : UR(G), Total Voters in Municipality Ward : 1204 , Total Vaild Votes : 1000 , Rejected Votes : 12 , NOTA Votes : 3",,,,,Warangal,Parakal
1,JAYANTH LAL RAJ PUROHITH,BJP,488,Elected,Warangal,Parakal
2,ARRABELLI BHASKAR REDDY,TRS,408,,Warangal,Parakal
3,SAMMAIAH GANDHAM,INC,104,,Warangal,Parakal
"WARD Name : 22 , Reserved for : UR(G), Total Voters in Municipality Ward : 1190 , Total Vaild Votes : 914 , Rejected Votes : 11 , NOTA Votes : 0",,,,,Warangal,Parakal
1,PARAMESHWAR DAVU,INC,15,,Warangal,Parakal
2,CHANDUPATLA RAMANA REDDY,TRS,417,,Warangal,Parakal
3,KOLANUPAKA BHADRAIAH,BJP,482,Elected,Warangal,Parakal
"WARD Name : 1 , Reserved for : UR(W), Total Voters in Municipality Ward : 1154 , Total Vaild Votes : 961 , Rejected Votes : 4 , NOTA Votes : 2",,,,,Warangal,Narsampet
1,INJAPURI SWAPNA,BJP,15,,Warangal,Narsampet
2,KAVITHA PALAKA,CPI,4,,Warangal,Narsampet
3,THIRUMALA DEVOJU,TRS,604,Elected,Warangal,Narsampet
4,RAJITHA LAKKARSU,INC,292,,Warangal,Narsampet
5,RADHA PEDDARAPU,CPM,46,,Warangal,Narsampet
6,BOLLA PADMA,IND,0,,Warangal,Narsampet
7,VASANTHA DOVOJU,IND,0,,Warangal,Narsampet
"WARD Name : 2 , Reserved for : BC(G), Total Voters in Municipality Ward : 1187 , Total Vaild Votes : 1010 , Rejected Votes : 13 , NOTA Votes : 10",,,,,Warangal,Narsampet
1,JURRU RAJU,TRS,545,Elected,Warangal,Narsampet
2,MUTHINENI VENKANNA alias VENKATAIAH,INC,436,,Warangal,Narsampet
3,MALLURI RAJU,IND,26,,Warangal,Narsampet
4,MANDALA KUMARASWAMY,IND,3,,Warangal,Narsampet
